process_type,material,target,model,MAE,RMSE,R2,CV_MAE,CV_RMSE,CV_R2,n_samples,n_features,cv_folds
milling,AlSiC,depth_um,RSM,2.555042370184448,4.316338666538989,0.9306907307203596,5.950175227086878,10.897866989167586,0.5581821066797441,120,13,5
milling,AlSiC,depth_um,GPR,0.08779016915702768,0.15315153452780988,0.9999127424529837,5.099695589630122,10.29513757313398,0.605701973394938,120,13,5
milling,AlSiC,depth_um,RandomForest,2.79462479875441,5.3463035290831655,0.8936671344376835,6.300736049365683,11.879973505964788,0.47496139318980746,120,13,5
milling,AlSiC,depth_um,XGBoost,0.9841984434227148,1.3054621068745327,0.9936600061714201,5.989365805759033,12.497440539698756,0.41896478727352515,120,13,5
milling,AlSiC,depth_um,MLP,6.921625737677895,12.2799990056522,0.4390076255931763,9.815368251890849,17.415576308209104,-0.12832963715599544,120,13,5
milling,AlSiC,Sa_um,RSM,0.7163301301976467,1.3536752198704425,0.6893710370122466,1.5560961345817153,2.945551785236436,-0.47077525289802846,120,13,5
milling,AlSiC,Sa_um,GPR,0.014668031495480259,0.03542954170435437,0.9997872135063258,0.8835793371146747,2.1869403828869602,0.18925014943815865,120,13,5
milling,AlSiC,Sa_um,RandomForest,0.5641655371883517,1.5021468664132291,0.6174944144074338,0.9624217705457352,2.1956002816582116,0.1828165834621327,120,13,5
milling,AlSiC,Sa_um,XGBoost,0.27495088656743366,0.49008304570031214,0.9592851962293679,1.01835012152195,2.430013439460244,-0.0009913858314805069,120,13,5
milling,AlSiC,Sa_um,MLP,0.9058652988552051,2.1268523447771783,0.2331901732012973,1.17522257178734,2.485333374579081,-0.04708585491067008,120,13,5
milling,CFRP,depth_um,RSM,1.5908722134121056,2.2828873751207084,0.9859014983403801,3.2941015137410914,5.42369406997009,0.9204217551357409,128,13,5
milling,CFRP,depth_um,GPR,1.6459689829463162,2.4454716534102934,0.9838218352691935,3.023732370437096,4.618569385996059,0.9422942709665925,128,13,5
milling,CFRP,depth_um,RandomForest,1.857337359083298,3.0067504726470036,0.9755432489458611,3.8416104917406946,5.927221821578905,0.9049600173404155,128,13,5
milling,CFRP,depth_um,XGBoost,0.8752774246439337,1.2364843147776974,0.9958639935231443,3.1378603649299595,4.953704569625278,0.9336158816178155,128,13,5
milling,CFRP,depth_um,MLP,2.94362754198288,4.0271482487318835,0.9561268091170825,3.6543259190276984,5.212371997715268,0.9265021232685591,128,13,5
milling,CFRP,Sa_um,RSM,0.2637099870953541,0.34365490834017043,0.7013583107839667,0.5301118703615196,0.6939398216299834,-0.21772424023957537,128,13,5
milling,CFRP,Sa_um,GPR,0.16070336030067586,0.20890533445445245,0.8896418552389753,0.40084579532180015,0.5135039370853682,0.33320415267574943,128,13,5
milling,CFRP,Sa_um,RandomForest,0.20627117861680414,0.27682095238902826,0.8062225448978464,0.43716416595399676,0.5789878481329674,0.1522960074712434,128,13,5
milling,CFRP,Sa_um,XGBoost,0.12299020513966678,0.16733235183880743,0.9291947988127368,0.45983888144120577,0.5938065988508394,0.10834803696838735,128,13,5
milling,CFRP,Sa_um,MLP,0.5738173135977394,0.7128844939745194,-0.2851199568493168,0.5294411832203798,0.6679968309823557,-0.12837676641766627,128,13,5
milling,Diamond,depth_um,RSM,1.4097104320373925,2.028275560506925,0.9942240714259026,11.254265796834805,27.878744772617072,-0.09122505890502697,52,13,5
milling,Diamond,depth_um,GPR,0.0007801171877557842,0.0011190314512771488,0.9999999982418639,7.585006566423517,11.779279402467134,0.805192647023405,52,13,5
milling,Diamond,depth_um,RandomForest,3.2537890759780215,4.185370570861569,0.9754056283645905,7.249199009377957,9.460792124063689,0.8743325221474534,52,13,5
