process_type,material,target,model,MAE,RMSE,R2,CV_MAE,CV_RMSE,CV_R2,n_samples,n_features,cv_folds
milling,Diamond,depth_um,XGBoost,0.4610475873947094,0.6440764051387642,0.9994175714198114,5.305723081857721,7.494726151137022,0.921135884594765,52,13,5
milling,Diamond,depth_um,MLP,4.470677541945621,6.17429552904775,0.9464767194405477,10.885916159625976,14.625319219399492,0.6996839060959348,52,13,5
milling,Diamond,Sa_um,RSM,0.04217151491105415,0.0580363078129498,0.9778371826086489,0.28104641984889855,0.5006515506733754,-0.6492881876676146,52,13,5
milling,Diamond,Sa_um,GPR,0.07744625269830441,0.11330131182868604,0.9155314004684314,0.197241881538689,0.35808820130523084,0.15626621325187684,52,13,5
milling,Diamond,Sa_um,RandomForest,0.09555231837606833,0.16376016703352791,0.8235417521768373,0.2025083941058942,0.3227045234414972,0.31477133344447117,52,13,5
milling,Diamond,Sa_um,XGBoost,0.021695205132262065,0.02917367290846855,0.9943997471462962,0.19537813441899532,0.29282554145590944,0.4357866898254392,52,13,5
milling,Diamond,Sa_um,MLP,0.13254110411425366,0.18098004312927687,0.7844803902491841,0.20956899295857084,0.28813981073652,0.4536990567381425,52,13,5
milling,SiC,depth_um,RSM,11.422312470535957,15.365729304545688,0.44357869909192027,22.528138195300684,28.752857713624735,-0.9483161102586337,120,13,5
milling,SiC,depth_um,GPR,0.0058840439982714285,0.007472019064196297,0.9999998684250136,16.357756944444443,20.827099361045896,-0.022244939085841464,120,13,5
milling,SiC,depth_um,RandomForest,9.360542892587583,12.23415019271721,0.647267881394076,17.87020099526816,22.78421889309743,-0.22339212305670153,120,13,5
milling,SiC,depth_um,XGBoost,6.248568756667277,8.739073270470605,0.8200183817111748,18.344151149976256,24.63143359628342,-0.4298048632504474,120,13,5
milling,SiC,depth_um,MLP,14.425428123890205,19.31034820812856,0.12122518576300889,14.350385947622733,22.397333193905826,-0.1821974354450917,120,13,5
milling,SiC,Sa_um,RSM,1.2314964155418744,1.6325108059847189,0.48810333824633056,2.303511868400513,3.06863202146276,-0.8086719083607421,120,13,5
milling,SiC,Sa_um,GPR,0.0006365893788472813,0.0008276592685598109,0.9999998684250136,1.7626348450816989,2.30023191878283,-0.016280094289838454,120,13,5
milling,SiC,Sa_um,RandomForest,1.0164650235309447,1.3743327411646713,0.6372111307477288,1.896212192560526,2.4765944848307226,-0.17809407276787792,120,13,5
milling,SiC,Sa_um,XGBoost,0.7048499421641231,1.017029445981451,0.8013277444191143,2.048497726685802,2.757953729254175,-0.46097949086037815,120,13,5
milling,SiC,Sa_um,MLP,1.499274819584069,2.1187749831353697,0.1377368208144586,1.6166326237480253,2.5353612026364476,-0.23466702283460372,120,13,5
milling,ZrO2,depth_um,RSM,2.0096419720663716,2.7472652992763433,0.9817518715979108,4.2925954843694125,6.580656057406761,0.895297871079754,120,13,5
milling,ZrO2,depth_um,GPR,1.1106855935061541,1.5742622881687942,0.9940080068136686,3.691007297647664,5.782448065072122,0.9191573374298648,120,13,5
milling,ZrO2,depth_um,RandomForest,2.082988212216406,3.3888919427007225,0.9722327692418093,4.545157730475391,7.22787175318949,0.8736899220461107,120,13,5
milling,ZrO2,depth_um,XGBoost,0.8982695565273364,1.2686550840924646,0.996108614508104,4.007075622430444,6.4671418303692025,0.8988788737426956,120,13,5
milling,ZrO2,depth_um,MLP,3.3522261452983324,4.638066239987675,0.9479895009811646,5.243377398600521,7.212390791891906,0.8742304151301815,120,13,5
milling,ZrO2,Sa_um,RSM,0.5138145204350593,0.6957555676997957,0.7695296494567014,1.0015203429632489,1.4657957956939298,-0.02293638157700606,120,13,5
milling,ZrO2,Sa_um,GPR,8.23083034233218e-05,0.0005172232266562524,0.9999998726327652,0.8232630773308247,1.47211602829884,-0.0317768138362966,120,13,5
milling,ZrO2,Sa_um,RandomForest,0.422483230905283,0.7915814365346828,0.7016727783635748,0.813847246638007,1.404951259283155,0.06022432984736714,120,13,5
milling,ZrO2,Sa_um,XGBoost,0.19604416107833386,0.28574687343120936,0.9611255143530895,0.8302824068566164,1.495698766933692,-0.06509894080755596,120,13,5
milling,ZrO2,Sa_um,MLP,0.7264855860078554,1.3129622383535102,0.17925895496343014,0.7494348578396571,1.3920434861088486,0.07741309417441511,120,13,5
